propertyType,rooms,size,buildYear,cluster_100m,adj_price,cluster_1000m,avg_adjusted_sqm_price_100m,avg_adjusted_sqm_price_1000m
3,2.0,48,1900,1,1870576,0,38969,44189
3,2.0,69,1980,9,2123356,0,30772,25860
3,4.0,83,1950,10,2411526,0,29053,31481
3,3.0,85,1968,10,2072800,0,24385,31481
3,4.0,82,1933,8,3083923,0,37608,40575
3,3.0,58,1820,1,2108190,0,36347,44189
3,3.0,87,2009,6,2932254,0,33703,35867
3,2.0,100,2022,13,4499494,0,44994,49653
3,3.0,82,1970,35,2047522,0,24969,25664
3,3.0,75,1917,1,3435793,0,45809,44189
3,2.0,63,2017,5,3003033,0,47666,45759
3,2.0,64,2005,36,2224469,0,34757,31658
3,3.0,81,1900,5,3822042,0,47185,45759
3,3.0,70,1983,2,2603640,0,37194,37211
3,4.0,99,1896,5,3892821,0,39320,45759
3,4.0,104,1890,1,3943377,0,37917,44189
3,3.0,75,1969,2,2982810,0,39770,37211
3,5.0,134,1926,5,2790863,0,20827,45759
3,4.0,102,1907,5,4701718,0,46095,45759
3,2.0,62,2017,1,3008088,0,48516,44189
3,2.0,67,1932,1,3188068,0,47582,44189
3,2.0,67,1966,1,2654196,0,39614,44189
3,3.0,159,2022,13,6066734,0,38154,49653
3,2.0,83,2005,1,3008088,0,36241,44189
3,2.0,47,1901,1,2553083,0,54320,44189
3,3.0,76,1876,1,3715874,0,48892,44189
3,3.0,76,2019,3,3690596,0,48560,42193
3,2.0,65,1951,10,2123356,0,32666,31481
3,2.0,58,1908,5,2856420,0,49247,45759
3,3.0,90,1910,5,5053589,0,56150,45759
3,3.0,78,1900,1,3820020,0,48973,44189
3,6.0,298,1895,1,16380182,0,54966,44189
3,2.0,65,1938,1,2426693,0,37333,44189
3,3.0,75,1933,1,2780586,0,37073,44189
3,2.0,59,2019,20,2780586,0,47128,51831
3,3.0,85,1905,5,4044489,0,47581,45759
3,2.0,61,1933,1,2502527,0,41024,44189
3,2.0,64,1938,32,2178968,0,34045,35933
3,3.0,118,2019,1,6066734,0,51412,44189
3,2.0,57,1922,1,2173913,0,38138,44189
3,3.0,76,2019,3,3741152,0,49225,42193
3,3.0,104,1914,37,2780586,0,26736,37199
3,2.0,60,1911,5,2345803,0,39096,45759
3,3.0,84,1911,5,3640040,0,43333,45759
3,3.0,95,1969,38,1921132,0,20222,22480
3,3.0,95,1971,39,1794742,0,18891,19616
3,2.0,64,2009,6,2553083,0,39891,35867
3,3.0,75,1900,1,3235591,0,43140,44189
3,3.0,90,1935,8,3741152,0,41568,40575
3,3.0,74,1890,1,3233569,0,43696,44189
3,3.0,120,1967,40,2932254,0,24434,34035
3,2.0,56,2015,1,2338220,0,41753,44189
3,3.0,103,2020,41,6294236,0,61108,48098
3,2.0,64,1885,1,2477249,0,38706,44189
3,3.0,70,1895,1,2831142,0,40444,44189
3,2.0,69,1875,3,2527805,0,36633,42193
3,3.0,89,1936,1,2957532,0,33230,44189
3,2.0,64,1938,32,2173913,0,33966,35933
3,3.0,102,2016,0,4398382,0,43121,47731
3,2.0,73,1986,3,2537917,0,34765,42193
3,2.0,61,1895,5,3028311,0,49644,45759
3,4.0,114,1898,1,4615773,0,40488,44189
3,4.0,106,1920,42,2728008,0,25735,25735
3,4.0,98,1961,32,3640040,0,37142,35933
3,4.0,130,1968,43,2275025,0,17499,25348
3,2.0,61,1944,32,1820020,0,29836,35933
3,2.0,66,1909,1,2628918,0,39831,44189
